"product_name","product_url","product_price","product_price_url","product_package","product_package_url"
"Banana","https://www.walmart.ca/en/ip/banana/875805","28¢","https://www.walmart.ca/en/ip/banana/875805","Sold in singles","https://www.walmart.ca/en/ip/banana/875805"
"Strawberries","https://www.walmart.ca/en/ip/strawberries/871283","$3.97","https://www.walmart.ca/en/ip/strawberries/871283","1 lb","https://www.walmart.ca/en/ip/strawberries/871283"
"Avocado","https://www.walmart.ca/en/ip/avocado/6000191273458","$4.97","https://www.walmart.ca/en/ip/avocado/6000191273458","Pack of 5","https://www.walmart.ca/en/ip/avocado/6000191273458"
"Apple, Gala","https://www.walmart.ca/en/ip/apple-gala/6000195494284","79¢","https://www.walmart.ca/en/ip/apple-gala/6000195494284","Sold in singles","https://www.walmart.ca/en/ip/apple-gala/6000195494284"
"Blueberries","https://www.walmart.ca/en/ip/blueberries/6000197576388","$4.97","https://www.walmart.ca/en/ip/blueberries/6000197576388","312 g","https://www.walmart.ca/en/ip/blueberries/6000197576388"
"Lemon","https://www.walmart.ca/en/ip/lemon/6000191268545","67¢","https://www.walmart.ca/en/ip/lemon/6000191268545","Sold in singles","https://www.walmart.ca/en/ip/lemon/6000191268545"
"Cantaloupe","https://www.walmart.ca/en/ip/cantaloupe/6000191268946","$3.47","https://www.walmart.ca/en/ip/cantaloupe/6000191268946","Sold in singles","https://www.walmart.ca/en/ip/cantaloupe/6000191268946"
"Raspberries","https://www.walmart.ca/en/ip/raspberries/6000191272137","$3.97","https://www.walmart.ca/en/ip/raspberries/6000191272137","6 oz","https://www.walmart.ca/en/ip/raspberries/6000191272137"
"Pears, Bartlett","https://www.walmart.ca/en/ip/pears-bartlett/6000187833002","87¢","https://www.walmart.ca/en/ip/pears-bartlett/6000187833002","Sold in singles","https://www.walmart.ca/en/ip/pears-bartlett/6000187833002"
"Grapes, Red Seedless","https://www.walmart.ca/en/ip/grapes-red-seedless/6000195440984","$6.55","https://www.walmart.ca/en/ip/grapes-red-seedless/6000195440984","1 Bag","https://www.walmart.ca/en/ip/grapes-red-seedless/6000195440984"
"Orange, Seedless","https://www.walmart.ca/en/ip/orange-seedless/6000189782333","$6.97","https://www.walmart.ca/en/ip/orange-seedless/6000189782333","4 lb Bag","https://www.walmart.ca/en/ip/orange-seedless/6000189782333"
"Avocado","https://www.walmart.ca/en/ip/avocado/6000195506328","$1.67","https://www.walmart.ca/en/ip/avocado/6000195506328","Sold in singles","https://www.walmart.ca/en/ip/avocado/6000195506328"
"Lime","https://www.walmart.ca/en/ip/lime/6000191268570","67¢","https://www.walmart.ca/en/ip/lime/6000191268570","Sold in singles","https://www.walmart.ca/en/ip/lime/6000191268570"
"Banana, Organic","https://www.walmart.ca/en/ip/banana-organic/6000191272014","47¢","https://www.walmart.ca/en/ip/banana-organic/6000191272014","Sold in singles","https://www.walmart.ca/en/ip/banana-organic/6000191272014"
"Orange, Seedless","https://www.walmart.ca/en/ip/orange-seedless/6000191272335","$1.23","https://www.walmart.ca/en/ip/orange-seedless/6000191272335","Sold in singles","https://www.walmart.ca/en/ip/orange-seedless/6000191272335"
"Strawberries, Organic","https://www.walmart.ca/en/ip/strawberries-organic/6000196024969","$3.97","https://www.walmart.ca/en/ip/strawberries-organic/6000196024969","1 lb","https://www.walmart.ca/en/ip/strawberries-organic/6000196024969"
"Watermelon, Large Seedless","https://www.walmart.ca/en/ip/watermelon-large-seedless/6000196088051","$2.96","https://www.walmart.ca/en/ip/watermelon-large-seedless/6000196088051","Sold in singles, average 11 lb","https://www.walmart.ca/en/ip/watermelon-large-seedless/6000196088051"
"Grapes, Green Seedless","https://www.walmart.ca/en/ip/grapes-green-seedless/6000194103967","$6.55","https://www.walmart.ca/en/ip/grapes-green-seedless/6000194103967","1 Bag","https://www.walmart.ca/en/ip/grapes-green-seedless/6000194103967"
"Apple, Organic Gala","https://www.walmart.ca/en/ip/apple-organic-gala/6000196625157","$3.97","https://www.walmart.ca/en/ip/apple-organic-gala/6000196625157","2 lb Bag","https://www.walmart.ca/en/ip/apple-organic-gala/6000196625157"
"Mango, Red","https://www.walmart.ca/en/ip/mango-red/6000191271888","$1.47","https://www.walmart.ca/en/ip/mango-red/6000191271888","Sold in singles","https://www.walmart.ca/en/ip/mango-red/6000191271888"
"Pineapple, Golden Jumbo","https://www.walmart.ca/en/ip/pineapple-golden-jumbo/6000191289579","$3.47","https://www.walmart.ca/en/ip/pineapple-golden-jumbo/6000191289579","2.05-2.29 kg each","https://www.walmart.ca/en/ip/pineapple-golden-jumbo/6000191289579"
"Apple, Granny Smith","https://www.walmart.ca/en/ip/apple-granny-smith/6000191269958","79¢","https://www.walmart.ca/en/ip/apple-granny-smith/6000191269958","Sold in singles","https://www.walmart.ca/en/ip/apple-granny-smith/6000191269958"
"Watermelon, Mini Seedless","https://www.walmart.ca/en/ip/watermelon-mini-seedless/6000191284632","$4.97","https://www.walmart.ca/en/ip/watermelon-mini-seedless/6000191284632","Sold in singles","https://www.walmart.ca/en/ip/watermelon-mini-seedless/6000191284632"
"Blackberries","https://www.walmart.ca/en/ip/blackberries/6000191270063","$3.97","https://www.walmart.ca/en/ip/blackberries/6000191270063","6oz","https://www.walmart.ca/en/ip/blackberries/6000191270063"
"Tomato, Grape","https://www.walmart.ca/en/ip/tomato-grape/6000196006539","$4.97","https://www.walmart.ca/en/ip/tomato-grape/6000196006539","1.5 lb Container","https://www.walmart.ca/en/ip/tomato-grape/6000196006539"
"Tomato, Cherry","https://www.walmart.ca/en/ip/tomato-cherry/6000194101652","$3.97","https://www.walmart.ca/en/ip/tomato-cherry/6000194101652","283 g","https://www.walmart.ca/en/ip/tomato-cherry/6000194101652"
